146, 3, 25, 31, 9, 3
138, -2, 22, 28, 7, 4
141, 1, 27, 30, 4, 6
119, 1, 23, 30, 3, 2
118, 1, 29, 24, 3, 2
143, 1, 24, 42, 7, 3
137, -3, 27, 29, 4, 7
143, -1, 23, 41, 6, 2
129, -1, 23, 29, 3, 2
145, 1, 26, 36, 6, 3
107, 2, 19, 20, 3, 2
134, -1, 35, 23, 3, 6
130, -4, 22, 21, 5, 8
134, 1, 21, 35, 8, 2
134, -1, 23, 37, 5, 3
114, 1, 19, 22, 3, 2
157, -2, 34, 28, 6, 5
130, 1, 39, 25, 2, 4
125, -2, 29, 25, 4, 5
130, -1, 24, 32, 6, 3
124, 5, 18, 26, 9, 1
160, 2, 26, 49, 9, 7
125, -2, 26, 25, 3, 2
145, 3, 25, 31, 9, 4
151, 1, 24, 48, 6, 3
155, 1, 26, 35, 8, 4
122, -5, 28, 20, 2, 7
142, 2, 33, 31, 5, 3
124, 1, 20, 29, 4, 2
107, 5, 19, 25, 8, 0
158, -1, 26, 40, 8, 6
119, -1, 25, 20, 4, 3
110, 3, 20, 25, 5, 0
130, -1, 19, 33, 6, 2
130, -3, 30, 22, 4, 6
128, -1, 24, 31, 5, 2
134, -2, 30, 25, 4, 5
140, -2, 27, 30, 9, 6
135, -1, 29, 24, 5, 5
110, -1, 15, 28, 2, 4
116, 2, 13, 27, 6, 1
130, -1, 24, 28, 6, 2
134, -1, 23, 30, 4, 4
119, 2, 25, 16, 5, 2
132, 1, 24, 30, 5, 2
110, 1, 21, 21, 2, 1
138, -2, 17, 40, 6, 3
133, -2, 30, 28, 5, 5
136, 3, 25, 31, 7, 5
116, -3, 25, 23, 1, 5
118, -3, 29, 20, 4, 5
117, -2, 21, 25, 4, 3
135, 2, 26, 25, 8, 5
128, 1, 22, 28, 5, 1
121, 4, 14, 33, 8, 3
119, -1, 18, 27, 5, 6
108, 2, 15, 23, 3, 0
138, 2, 27, 33, 7, 4
153, 2, 33, 32, 6, 4
101, -5, 17, 19, 4, 6
137, 1, 20, 36, 8, 3
112, 5, 23, 13, 9, 2
118, 2, 16, 30, 4, 0
129, 1, 29, 23, 6, 5
141, -1, 43, 28, 6, 5
205, -1, 43, 46, 17, 15
135, 1, 24, 23, 6, 4
125, 2, 23, 26, 6, 3
129, 3, 21, 30, 6, 1
138, -1, 24, 29, 5, 6
119, -1, 21, 20, 4, 4
101, -2, 15, 21, 4, 2
135, 2, 23, 37, 6, 2
163, -5, 40, 36, 7, 12
145, 2, 27, 35, 7, 5
133, -5, 21, 29, 7, 9
150, 1, 35, 28, 9, 6
123, 2, 23, 19, 4, 5
114, -2, 25, 19, 5, 3
131, 2, 13, 36, 7, 4
124, 2, 23, 30, 7, 1
156, 2, 24, 45, 8, 4
150, -2, 28, 52, 7, 3
139, -1, 25, 40, 8, 2
112, 3, 25, 31, 4, 2
119, -3, 15, 29, 2, 3
172, 1, 29, 51, 11, 5
123, 3, 23, 30, 6, 1
122, 1, 19, 28, 5, 2
136, -3, 42, 24, 5, 8
152, 1, 23, 32, 9, 6
115, -3, 21, 25, 2, 7
117, -1, 19, 21, 3, 4
114, 1, 18, 19, 4, 2
117, -2, 24, 28, 3, 1
127, -1, 22, 29, 5, 4
123, -1, 20, 24, 4, 2
131, -3, 23, 28, 4, 5
121, -2, 24, 26, 2, 2
111, -3, 18, 20, 3, 4
