203, -2, 42, 39, 22, 24
189, 2, 30, 40, 22, 20
189, 2, 30, 40, 22, 20
254, 1, 51, 55, 30, 25
166, -1, 37, 28, 10, 13
192, -5, 36, 36, 21, 25
212, -6, 53, 43, 18, 22
209, -4, 50, 36, 20, 24
153, 2, 37, 26, 7, 7
153, 2, 37, 26, 7, 7
190, -4, 44, 32, 14, 16
244, 1, 70, 36, 21, 25
225, 1, 45, 39, 23, 24
205, 2, 34, 35, 16, 19
205, 2, 34, 35, 16, 19
223, 6, 42, 37, 35, 31
273, -5, 41, 50, 35, 41
186, 2, 39, 36, 17, 16
248, -4, 47, 47, 32, 37
185, -2, 31, 50, 17, 15
201, -4, 50, 37, 16, 19
102, -6, 23, 19, 4, 8
102, -6, 23, 19, 4, 8
151, 1, 26, 30, 10, 11
151, 1, 26, 30, 10, 11
141, 4, 24, 27, 16, 13
269, -3, 63, 58, 29, 29
212, -4, 48, 30, 17, 23
190, -4, 37, 31, 17, 20
190, -4, 37, 31, 17, 20
310, -2, 86, 44, 41, 49
265, -2, 64, 51, 28, 34
253, -1, 52, 50, 30, 32
228, -1, 49, 52, 28, 31
156, 3, 34, 24, 14, 14
156, 3, 34, 24, 14, 14
243, -5, 50, 41, 35, 41
214, -1, 49, 44, 20, 20
199, -2, 70, 16, 15, 23
192, -5, 45, 45, 18, 22
192, -5, 45, 45, 18, 22
174, -6, 36, 29, 14, 20
171, -3, 33, 36, 11, 14
248, -3, 57, 40, 23, 30
227, 1, 35, 51, 31, 27
246, -3, 65, 45, 19, 26
145, -3, 32, 32, 10, 13
145, -3, 32, 32, 10, 13
166, -2, 30, 31, 8, 13
186, -7, 71, 52, 9, 16
186, -7, 71, 52, 9, 16
158, -5, 32, 32, 12, 14
201, -1, 53, 34, 18, 20
200, -3, 44, 40, 19, 21
288, 5, 53, 67, 38, 29
170, -2, 52, 31, 10, 15
162, -3, 45, 24, 10, 15
162, -3, 45, 24, 10, 15
240, 1, 56, 51, 22, 22
219, -5, 60, 31, 18, 25
148, -6, 30, 31, 9, 15
163, -5, 53, 20, 9, 18
224, -2, 61, 36, 20, 29
195, -3, 52, 34, 11, 17
190, -1, 55, 32, 13, 18
160, -1, 33, 33, 11, 13
160, -1, 33, 33, 11, 13
196, -3, 42, 28, 25, 26
171, -2, 33, 28, 14, 20
171, -2, 33, 28, 14, 20
217, -4, 53, 36, 17, 25
147, -5, 28, 30, 12, 14
178, -5, 51, 29, 8, 19
178, -5, 51, 29, 8, 19
187, -2, 69, 37, 11, 17
187, -6, 39, 32, 16, 25
202, -4, 35, 43, 20, 27
167, -4, 45, 33, 11, 11
167, -4, 45, 33, 11, 11
162, -2, 36, 27, 10, 14
212, -1, 46, 40, 21, 25
212, -1, 46, 40, 21, 25
184, -2, 32, 39, 18, 22
159, -2, 32, 25, 13, 17
126, -6, 28, 24, 7, 13
126, -6, 28, 24, 7, 13
126, -6, 28, 24, 7, 13
180, 4, 34, 46, 18, 16
180, 4, 38, 34, 21, 16
180, 4, 38, 34, 21, 16
211, -3, 44, 44, 18, 21
183, -1, 50, 29, 15, 19
183, -1, 50, 29, 15, 19
247, -3, 58, 47, 27, 30
269, -1, 49, 55, 37, 33
212, 5, 44, 42, 25, 22
209, -5, 49, 36, 20, 28
154, -2, 49, 35, 6, 12
189, 2, 32, 48, 22, 17
189, 2, 32, 48, 22, 17
