205, 4, 46, 55, 29, 20
203, 7, 50, 39, 29, 21
311, 3, 59, 96, 42, 28
363, 2, 76, 79, 45, 42
160, -5, 44, 28, 11, 19
216, 6, 45, 56, 28, 19
176, 4, 49, 30, 17, 18
257, 1, 52, 58, 35, 30
328, 1, 84, 59, 31, 33
446, 2, 104, 79, 71, 73
337, 1, 74, 74, 43, 36
432, 2, 85, 99, 67, 60
264, 2, 45, 64, 35, 26
254, 3, 57, 65, 29, 19
229, -4, 52, 45, 19, 21
365, 3, 84, 82, 47, 40
200, 2, 47, 46, 19, 14
378, -2, 103, 77, 39, 46
229, 2, 52, 45, 19, 20
255, -1, 55, 55, 29, 29
355, 1, 86, 70, 35, 38
337, -2, 69, 70, 49, 43
284, 1, 54, 66, 36, 29
208, 3, 44, 51, 26, 18
182, 5, 33, 42, 26, 18
164, 7, 39, 41, 21, 11
269, -3, 52, 54, 37, 33
290, 1, 94, 43, 32, 37
244, -4, 66, 47, 20, 25
377, 3, 88, 73, 45, 45
177, 6, 37, 48, 24, 13
273, 4, 62, 59, 42, 32
342, -1, 80, 76, 47, 39
220, 4, 55, 40, 21, 22
242, 1, 55, 45, 30, 26
343, 2, 73, 71, 51, 44
380, 2, 82, 89, 51, 41
358, -1, 87, 70, 44, 39
260, 7, 53, 69, 45, 38
226, -2, 44, 51, 30, 26
280, 4, 54, 68, 47, 37
235, -2, 50, 66, 23, 18
239, -4, 58, 48, 23, 21
221, 3, 54, 40, 23, 24
343, -4, 77, 65, 42, 46
226, 3, 45, 64, 25, 17
255, 6, 63, 41, 33, 30
259, 2, 52, 93, 27, 14
248, -3, 63, 39, 27, 30
353, -1, 81, 63, 44, 45
314, -2, 67, 71, 35, 30
303, 3, 66, 72, 40, 33
443, -2, 104, 81, 64, 65
260, -2, 63, 46, 31, 33
342, 2, 76, 76, 51, 43
154, -6, 44, 23, 10, 15
285, 1, 54, 61, 39, 33
285, 1, 72, 58, 31, 25
187, 7, 38, 29, 26, 20
272, 6, 57, 54, 40, 30
242, 3, 49, 50, 39, 32
244, 1, 61, 48, 21, 18
215, 6, 51, 31, 36, 32
412, -1, 107, 62, 62, 61
258, 6, 65, 48, 30, 27
310, 3, 63, 61, 42, 35
238, 1, 54, 47, 27, 22
358, -2, 89, 71, 40, 46
184, 1, 47, 43, 13, 13
286, 3, 73, 45, 35, 37
217, 6, 43, 52, 30, 25
279, -2, 88, 66, 22, 24
204, 2, 46, 41, 21, 18
231, 3, 48, 39, 27, 25
414, 7, 90, 85, 74, 60
253, 2, 50, 66, 29, 20
321, 6, 71, 58, 56, 51
315, 3, 71, 77, 40, 37
332, 2, 67, 78, 36, 35
302, -1, 56, 73, 46, 40
208, 5, 48, 59, 25, 14
318, 3, 59, 67, 53, 43
208, 3, 56, 41, 18, 17
204, -2, 46, 54, 19, 17
252, 2, 49, 65, 31, 23
177, 5, 50, 33, 18, 11
179, 7, 51, 47, 17, 13
315, 6, 71, 73, 44, 35
255, 1, 62, 50, 30, 28
305, -3, 78, 56, 30, 37
288, 1, 64, 56, 38, 30
266, 5, 54, 58, 48, 42
282, -3, 77, 55, 29, 29
250, 2, 53, 51, 22, 23
265, 3, 48, 69, 42, 30
241, 7, 58, 47, 34, 28
280, 3, 68, 47, 36, 36
257, 1, 55, 51, 33, 24
304, -3, 74, 51, 39, 35
309, 7, 68, 57, 59, 51
